Date_YMD,Status,Total,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujrat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerela,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
03-04-2020,Confirmed,560,15,0,7,2,0,93,1,7,9,0,5,0,4,9,1,47,64,0,0,0,0,15,6,46,0,102,75,0,46,6,0
03-04-2020,Recovered,38,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,1,0,0,0,0,15,0,0,0,0
03-04-2020,Deceased,14,1,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
04-04-2020,Confirmed,579,28,0,3,1,1,59,1,13,26,7,17,0,16,11,0,25,148,0,0,0,0,1,12,27,0,74,43,0,60,6,0
04-04-2020,Recovered,56,0,0,0,0,0,8,0,3,1,0,0,0,0,8,0,0,2,0,0,0,0,0,2,22,0,2,1,0,4,0,0
04-04-2020,Deceased,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0
05-04-2020,Confirmed,609,64,0,0,0,0,58,0,20,6,1,14,1,7,8,0,14,112,0,0,0,0,18,3,60,0,86,62,0,44,4,27
05-04-2020,Recovered,43,3,0,0,0,5,0,0,8,0,0,1,0,1,6,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,2,7
05-04-2020,Deceased,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,13,0,0,0,0,0,2,0,0,2,0,0,1,0,0
06-04-2020,Confirmed,484,47,0,0,0,0,22,0,18,20,4,3,1,12,13,0,63,121,0,0,0,0,1,11,35,0,50,30,1,27,5,0
06-04-2020,Recovered,65,0,0,0,6,0,0,0,1,0,0,0,0,8,3,7,8,14,1,0,0,0,0,0,0,0,5,12,0,0,0,0
06-04-2020,Deceased,16,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
07-04-2020,Confirmed,572,11,0,2,6,0,51,0,29,33,9,16,0,12,9,0,34,150,0,0,0,0,2,20,42,0,69,40,0,27,0,11
07-04-2020,Recovered,75,0,0,0,6,1,4,0,3,2,1,0,0,5,12,0,10,9,0,0,0,0,0,10,0,0,6,0,0,0,0,3
07-04-2020,Deceased,27,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,6,12,0,0,0,0,1,1,0,0,1,0,0,0,0,0
08-04-2020,Confirmed,565,34,0,0,1,0,93,0,11,24,0,33,0,6,9,0,51,117,0,0,0,0,0,7,40,0,48,49,0,29,4,8
08-04-2020,Recovered,96,1,0,0,0,0,1,0,0,1,0,2,0,3,13,0,4,38,0,0,0,0,0,0,20,0,2,0,0,10,1,0
08-04-2020,Deceased,20,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,8,0,0,0,0,0,1,1,0,1,0,0,1,0,2
09-04-2020,Confirmed,813,15,0,1,19,8,51,0,76,3,1,26,9,16,12,0,70,229,0,0,0,0,6,24,80,0,96,18,0,49,0,4
09-04-2020,Recovered,70,4,0,0,0,0,4,0,1,0,0,0,0,2,13,0,0,8,0,0,0,0,0,4,15,0,6,0,0,0,0,3
09-04-2020,Deceased,46,2,0,0,0,0,3,0,2,0,0,1,1,1,0,0,9,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10-04-2020,Confirmed,871,18,0,0,2,0,183,0,116,6,0,23,1,10,7,1,40,210,0,0,0,0,2,21,98,0,77,16,1,23,0,13
10-04-2020,Recovered,151,0,0,0,0,0,2,1,7,4,0,0,0,4,27,1,12,63,0,0,0,0,10,2,0,0,17,0,0,1,0,0
10-04-2020,Deceased,22,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,4,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11-04-2020,Confirmed,854,24,0,0,4,7,166,0,90,3,4,17,3,8,10,0,78,187,0,0,0,0,4,7,139,0,58,16,0,19,0,10
11-04-2020,Recovered,186,0,0,0,0,0,0,4,11,0,6,0,0,5,19,0,1,20,0,0,0,0,0,0,56,0,0,51,0,13,0,0
11-04-2020,Deceased,40,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,4,17,0,0,0,0,0,1,6,0,1,2,0,1,0,0
12-04-2020,Confirmed,758,15,0,1,0,6,85,0,48,16,0,21,2,17,2,0,33,221,0,0,0,0,0,12,104,0,106,28,0,31,0,8
12-04-2020,Recovered,114,2,0,0,11,1,1,0,0,8,4,0,0,15,36,0,3,9,0,0,0,0,0,3,5,0,6,7,0,0,0,3
12-04-2020,Deceased,42,1,0,0,0,0,5,0,2,1,0,0,1,0,0,0,3,22,0,0,0,0,0,0,2,0,1,2,0,0,0,2
13-04-2020,Confirmed,1243,19,0,2,2,0,356,0,56,1,0,25,5,15,3,2,52,352,0,1,0,0,1,6,93,0,98,61,0,75,0,18
13-04-2020,Recovered,112,0,0,0,2,0,3,0,10,7,0,10,0,6,19,1,10,12,0,0,0,0,6,2,0,0,8,0,0,4,2,10
13-04-2020,Deceased,27,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,7,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-04-2020,Confirmed,1031,45,0,1,0,2,51,0,78,2,1,8,3,13,8,0,127,346,0,0,0,0,5,8,108,0,31,52,0,102,2,38
14-04-2020,Recovered,167,4,0,0,1,3,0,0,5,4,1,14,0,11,13,0,13,30,0,0,0,0,0,2,26,0,23,7,0,1,2,7
14-04-2020,Deceased,37,4,0,0,0,0,2,0,2,0,0,0,0,2,0,0,3,18,0,0,0,0,0,1,0,0,1,1,0,3,0,0
15-04-2020,Confirmed,886,41,0,0,6,0,17,0,116,6,2,22,1,19,1,1,197,236,0,6,0,0,0,2,71,0,38,6,0,75,0,23
15-04-2020,Recovered,144,4,1,2,0,4,10,1,5,2,0,6,0,9,7,0,0,36,0,0,0,0,1,0,0,0,37,8,1,7,0,1
15-04-2020,Deceased,27,3,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,3,0,0
16-04-2020,Confirmed,1061,9,0,2,11,3,62,0,163,11,0,14,1,36,7,0,226,285,0,2,0,0,0,11,55,0,25,50,0,70,0,18
16-04-2020,Recovered,258,0,0,3,8,6,11,0,9,8,3,2,0,2,27,2,6,5,0,0,0,0,0,2,17,0,62,68,0,11,0,5
16-04-2020,Deceased,26,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,2,7,0,0,0,0,0,1,0,0,1,0,0,2,0,3
17-04-2020,Confirmed,922,38,0,0,2,0,67,0,170,8,3,14,3,44,1,0,146,120,0,0,0,0,0,14,98,0,56,66,0,44,3,24
17-04-2020,Recovered,273,15,0,4,0,1,20,0,13,21,0,4,0,6,10,0,0,31,0,0,0,0,2,1,19,0,103,0,0,14,0,9
17-04-2020,Deceased,38,0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,14,7,0,0,0,0,0,0,6,0,0,0,0,1,0,0
18-04-2020,Confirmed,1371,31,0,0,1,0,186,0,277,9,1,13,1,25,4,0,92,327,0,2,0,0,1,23,122,0,49,43,0,126,2,32
18-04-2020,Recovered,426,7,0,3,5,1,135,0,7,14,0,9,0,16,2,0,57,34,0,0,0,0,3,1,17,0,82,0,0,26,0,4
18-04-2020,Deceased,35,2,0,0,1,0,1,0,12,0,0,0,0,1,0,0,0,10,0,0,0,0,0,2,4,0,0,0,0,0,0,2
19-04-2020,Confirmed,1580,44,0,0,10,0,110,0,367,18,0,13,8,6,2,0,5,552,0,0,0,0,0,10,127,0,105,49,0,125,2,23
19-04-2020,Recovered,388,23,0,5,0,0,83,1,12,4,0,5,0,7,13,0,4,142,0,0,0,0,0,6,5,0,46,0,0,19,2,7
19-04-2020,Deceased,38,1,0,0,0,0,2,0,10,0,0,0,0,2,0,0,3,12,0,0,0,0,0,0,2,0,0,3,0,3,0,0
20-04-2020,Confirmed,1239,75,0,0,17,0,78,0,196,1,0,14,5,18,6,0,78,466,0,0,0,0,13,1,98,0,43,14,0,84,2,29
20-04-2020,Recovered,419,27,0,2,0,0,141,0,26,37,0,15,4,1,21,0,7,65,1,0,0,0,0,1,0,0,46,0,0,13,7,4
20-04-2020,Deceased,33,3,0,0,0,0,2,0,8,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,2,0,2,2,0,1,0,0
21-04-2020,Confirmed,1537,35,0,0,13,0,75,0,239,4,0,12,0,10,19,0,67,552,0,1,0,0,5,6,159,0,76,56,0,153,0,53
21-04-2020,Recovered,703,4,0,0,0,0,180,0,8,6,0,10,0,17,16,0,10,150,0,0,0,0,6,11,69,0,178,8,0,22,1,7
21-04-2020,Deceased,53,2,0,0,0,0,0,0,19,0,0,0,0,1,0,0,4,19,0,0,0,0,0,0,1,0,1,0,0,3,0,3
22-04-2020,Confirmed,1292,56,0,0,17,0,92,0,229,9,0,27,0,9,11,0,35,431,0,0,0,0,4,27,153,0,33,15,0,112,0,31
22-04-2020,Recovered,394,24,0,0,0,3,113,0,40,11,0,11,0,2,1,0,4,67,0,0,0,0,2,4,70,0,27,0,0,11,4,0
22-04-2020,Deceased,36,2,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23-04-2020,Confirmed,1667,80,0,1,27,0,128,0,217,6,1,27,7,18,10,0,100,778,0,0,0,0,6,5,76,0,54,27,0,61,1,33
23-04-2020,Recovered,642,21,0,0,2,2,84,0,79,12,2,0,4,14,8,2,51,51,0,0,0,0,1,13,107,0,90,58,1,33,1,6
23-04-2020,Deceased,40,3,0,0,0,0,2,0,9,0,0,0,1,0,0,0,3,14,0,0,0,0,0,1,1,0,2,1,0,3,0,0
24-04-2020,Confirmed,1408,62,0,0,53,0,138,0,191,5,0,20,6,29,3,0,159,390,0,0,0,0,5,15,70,0,72,13,0,111,1,58
24-04-2020,Recovered,484,4,0,0,0,0,49,0,7,16,0,17,0,7,15,0,7,117,0,0,0,0,0,4,42,0,114,39,0,20,1,24
24-04-2020,Deceased,59,2,0,0,0,0,3,0,15,0,0,0,0,1,1,0,9,18,0,0,0,0,0,0,4,0,2,0,0,1,0,3
25-04-2020,Confirmed,1835,61,0,0,28,1,111,0,256,12,0,40,8,26,7,2,99,811,0,0,0,0,6,10,49,0,66,7,0,172,0,57
